name,width,height,road_fraction
ck2jflec7j89w0811w4msy65a,640,480,0.3430
ck2jg9rq9jbbi0811ykpc4gn8,640,480,0.5839
ck2jgixkhjcc3081170b6i6b3,640,480,0.7737
ck2jgamqyjbf30811i52b8gpj,640,480,0.8558
ckalh3fxalq510700irq4z7jc,640,480,0.0917
ckax083sko55u072120pya7tg,640,480,0.5975
ckax08novnzm80753tkvkhmze,640,480,0.4171
ckax0a9abo6hm0712v23ovks3,640,480,0.9535
ckb163dkx1ih80755cg3iqqem,640,480,0.0830
ckb17msro1muh0753qm1tpyog,640,480,0.7844
ckb188ocv243v0712r8v2g4oa,640,480,0.3146
ckb1716l7004p0729g9c9z4bm,640,480,0.9571
ckb164tdd1aqv0753b4r24ktf,640,480,0.5518
ckb17o2n81tsy0744d0d3fy3m,640,480,0.2337
ckb16pc3z1np30755b8o3h4xe,640,480,0.1557
ckgkwodoz001r3q634ccfwgng,640,480,0.8094
ckgkw9t8900173q6397ddx7fl,640,480,0.8233
ckgkwemq3001e3q63h8ejv40d,640,480,0.8341
ckgkw97ys00163q637uvnddz2,640,480,0.1817
ckgkvzpv5000u3q63gommxcyh,640,480,0.2762
ckhfbndya00143r63zzo2caiz,640,480,0.8562
ckhfbkddn00103r63sjghlz0f,640,480,0.9074
ckhfd6i4m003t3r63b792nt6a,640,480,0.8544
ckhfbvg54001g3r63mnib1vhv,640,480,0.0002
ckhfbsvi9001c3r63dpmnauxe,640,480,0.8884
ckhfc30l0001x3r63bn76f1fb,640,480,0.9311
ckhfbd348000o3r63opctckcq,640,480,1.0000
ckhfdydqg00543r634y22f0hv,640,480,0.4721
ckhfe1pmi005a3r63wejz2paf,640,480,0.1285
ckhfdmfgi004k3r634npdjfx7,640,480,0.1265
ckhfeu0wx006h3r63s8n2q4vl,640,480,0.9697
ckhfeq9hh00693r636j9an8yh,640,480,0.7979
cl4n80u7x6id3077efm7e7875,640,480,0.9257
cl4nqmuwu13pv079i2z7o5z79,640,480,0.8415
cl4nqncdr133y079k2mq52mr1,640,480,0.9784
cl4nqq34se1uy077ea2yb1ibi,640,480,0.8524
cl4nqytps17fs079idz1l3c2e,640,480,0.7708
cl4ogqrmq1b5i078670yogd5l,640,480,0.9940
cl4oi79m11lrh0786hlts5niy,640,480,0.7515
cl4oiuzhk1qlc075j2lpgdxpi,640,480,0.6004
cl4oiz8e81pqy07863az37b7q,640,480,0.8680
cl4oj3hq61p2j0724fogn01cb,640,480,0.7873
cl4oj7apc1qw907602qsz7adp,640,480,0.9230
cl4ojbd6w1q9g077xfosv97n3,640,480,0.9776
cl4ojh7zm1r1a077xcl2391im,640,480,0.9883
cl4pqnqcm2qlb084r4oumel00,640,480,0.9104
cl4pqp4s75k1d078p3bi7di90,640,480,0.9199
cl4rdn73d1hzo077kc6uk74h1,640,480,0.9156
cl4rdogoz1hvz07apdkpec2rt,640,480,0.9026
cl4rdsnj70ho707b39ck76aa4,640,480,0.8865
